Amount Bought (OCW) ,Buy Cost (PaC),Buy Price,Amount Sold (OCW),Sell Cost (PaC),Sell Price,Profit (PaC)
1,21,2.09580838323353E+019,1,2.64634365787079E+022,2.336E+019,2.40191616766468
1131,24987,2.20487407148568E+019,1131,2.64634365787079E+022,2.336E+019,1483.03425149701
1.1351228389445E+021,2.51250132393085E+022,2.209E+019,1.1351228389445E+021,2.64634365787079E+022,2.336E+019,1.44160600545952E+021
1.09995104472241E+021,2.8744096692853E+022,2.60799999999999E+019,1.09995104472241E+021,5.08866024797469E+022,3.10999999999999E+019,5.52175424450651E+021
5.39553123734989E+020,1.47971041346199E+022,2.737E+019,5.39553123734989E+020,5.08866024797469E+022,3.10999999999999E+019,2.01253315153146E+021
5E+019,1.837668E+021,3.668E+019,5E+019,1.776939E+021,3.561E+019,-5.34999999999998E+019
9.5E+020,3.0632142E+022,3.218E+019,9.5E+020,3.077975712E+022,3.216E+019,-1.9E+019
9E+018,2.9019924E+020,3.218E+019,9E+018,3.077975712E+022,3.216E+019,-1.79999999999963E+017
1.16315331529381E+021,3.71787999393884E+022,3.19E+019,1.16315331529381E+021,7.56317752591134E+022,3.294E+019,1.20967944790557E+021
5.80413504331613E+020,1.85522211697548E+022,3.19E+019,5.80413504331613E+020,7.56317752591134E+022,3.294E+019,6.03630044504878E+020
5.57081083926467E+020,1.78064283504088E+022,3.19E+019,5.57081083926467E+020,7.56317752591134E+022,3.294E+019,5.79364327283521E+020
7.41881914842748E+020,2.44790317986832E+022,3.293E+019,7.41881914842748E+020,,0,-2.44301714557717E+022
