,TokenCST
2019-06-23 18:00:00,1.5730E+19
2019-06-23 19:00:00,1.5600E+19
2019-06-23 20:00:00,1.5920E+19
2019-06-23 21:00:00,1.6180E+19
2019-06-23 22:00:00,1.6020E+19
2019-06-23 23:00:00,1.6130E+19
2019-06-24 00:00:00,1.6250E+19
2019-06-24 01:00:00,1.6270E+19
2019-06-24 02:00:00,1.6220E+19
2019-06-24 03:00:00,1.6260E+19
2019-06-24 04:00:00,1.6190E+19
2019-06-24 05:00:00,1.6230E+19
2019-06-24 06:00:00,1.6190E+19
2019-06-24 07:00:00,1.6000E+19
2019-06-24 08:00:00,1.6040E+19
2019-06-24 09:00:00,1.6210E+19
2019-06-24 10:00:00,1.6200E+19
2019-06-24 11:00:00,1.6270E+19
2019-06-24 12:00:00,1.6310E+19
2019-06-24 13:00:00,1.6330E+19
2019-06-24 14:00:00,1.6570E+19
2019-06-24 15:00:00,1.6430E+19
2019-06-24 16:00:00,1.6290E+19
2019-06-24 17:00:00,1.6470E+19
2019-06-24 18:00:00,1.6480E+19
2019-06-24 19:00:00,1.6450E+19
2019-06-24 20:00:00,1.6460E+19
2019-06-24 21:00:00,1.6570E+19
2019-06-24 22:00:00,1.6680E+19
2019-06-24 23:00:00,1.6690E+19
2019-06-25 00:00:00,1.6990E+19
2019-06-25 01:00:00,1.6780E+19
2019-06-25 02:00:00,1.6970E+19
2019-06-25 03:00:00,1.6980E+19
2019-06-25 04:00:00,1.6980E+19
2019-06-25 05:00:00,1.6840E+19
2019-06-25 06:00:00,1.6700E+19
2019-06-25 07:00:00,1.6700E+19
2019-06-25 08:00:00,1.6770E+19
2019-06-25 09:00:00,1.6420E+19
2019-06-25 10:00:00,1.6450E+19
2019-06-25 11:00:00,1.6370E+19
2019-06-25 12:00:00,1.6370E+19
2019-06-25 13:00:00,1.6490E+19
2019-06-25 14:00:00,1.6230E+19
2019-06-25 15:00:00,1.6270E+19
2019-06-25 16:00:00,1.6230E+19
2019-06-25 17:00:00,1.5830E+19
2019-06-25 18:00:00,1.5980E+19
2019-06-25 19:00:00,1.5970E+19
2019-06-25 20:00:00,1.5840E+19
2019-06-25 21:00:00,1.6070E+19
2019-06-25 22:00:00,1.6140E+19
2019-06-25 23:00:00,1.6190E+19
2019-06-26 00:00:00,1.6000E+19
2019-06-26 01:00:00,1.6030E+19
2019-06-26 02:00:00,1.6090E+19
2019-06-26 03:00:00,1.5950E+19
2019-06-26 04:00:00,1.6110E+19
2019-06-26 05:00:00,1.6110E+19
2019-06-26 06:00:00,1.6210E+19
2019-06-26 07:00:00,1.6230E+19
2019-06-26 08:00:00,1.6200E+19
2019-06-26 09:00:00,1.5960E+19
2019-06-26 10:00:00,1.5950E+19
2019-06-26 11:00:00,1.6000E+19
2019-06-26 12:00:00,1.5920E+19
2019-06-26 13:00:00,1.5920E+19
2019-06-26 14:00:00,1.5860E+19
2019-06-26 15:00:00,1.5530E+19
2019-06-26 16:00:00,1.5730E+19
2019-06-26 17:00:00,1.5770E+19
2019-06-26 18:00:00,1.5770E+19
2019-06-26 19:00:00,1.5690E+19
2019-06-26 20:00:00,1.5800E+19
2019-06-26 21:00:00,1.5960E+19
2019-06-26 22:00:00,1.6060E+19
2019-06-26 23:00:00,1.6000E+19
2019-06-27 00:00:00,1.6030E+19
2019-06-27 01:00:00,1.6110E+19
2019-06-27 02:00:00,1.6060E+19
2019-06-27 03:00:00,1.6050E+19
2019-06-27 04:00:00,1.6000E+19
2019-06-27 05:00:00,1.6040E+19
2019-06-27 06:00:00,1.6050E+19
2019-06-27 07:00:00,1.5870E+19
2019-06-27 08:00:00,1.5770E+19
2019-06-27 09:00:00,1.5890E+19
2019-06-27 10:00:00,1.5850E+19
2019-06-27 11:00:00,1.5810E+19
2019-06-27 12:00:00,1.5900E+19
2019-06-27 13:00:00,1.5850E+19
2019-06-27 14:00:00,1.6260E+19
2019-06-27 15:00:00,1.6200E+19
2019-06-27 16:00:00,1.6140E+19
2019-06-27 17:00:00,1.6120E+19
2019-06-27 18:00:00,1.6150E+19
2019-06-27 19:00:00,1.6200E+19
2019-06-27 20:00:00,1.6190E+19
2019-06-27 21:00:00,1.6200E+19
2019-06-27 22:00:00,1.6190E+19
2019-06-27 23:00:00,1.6020E+19
2019-06-28 00:00:00,1.5930E+19
2019-06-28 01:00:00,1.5940E+19
2019-06-28 02:00:00,1.5860E+19
2019-06-28 03:00:00,1.5820E+19
2019-06-28 04:00:00,1.5930E+19
2019-06-28 05:00:00,1.5910E+19
2019-06-28 06:00:00,1.5930E+19
2019-06-28 07:00:00,1.5880E+19
2019-06-28 08:00:00,1.5860E+19
2019-06-28 09:00:00,1.5850E+19
2019-06-28 10:00:00,1.5850E+19
2019-06-28 11:00:00,1.6030E+19
2019-06-28 12:00:00,1.6010E+19
2019-06-28 13:00:00,1.5910E+19
2019-06-28 14:00:00,1.5950E+19
2019-06-28 15:00:00,1.5920E+19
2019-06-28 16:00:00,1.5950E+19
2019-06-28 17:00:00,1.5980E+19
2019-06-28 18:00:00,1.6550E+19
2019-06-28 19:00:00,1.6490E+19
2019-06-28 20:00:00,1.6600E+19
2019-06-28 21:00:00,1.6520E+19
2019-06-28 22:00:00,1.6530E+19
2019-06-28 23:00:00,1.6390E+19
2019-06-29 00:00:00,1.6450E+19
2019-06-29 01:00:00,1.6460E+19
2019-06-29 02:00:00,1.6340E+19
2019-06-29 03:00:00,1.6230E+19
2019-06-29 04:00:00,1.6540E+19
2019-06-29 05:00:00,1.6470E+19
2019-06-29 06:00:00,1.6450E+19
2019-06-29 07:00:00,1.6440E+19
2019-06-29 08:00:00,1.6460E+19
2019-06-29 09:00:00,1.6440E+19
2019-06-29 10:00:00,1.6090E+19
2019-06-29 11:00:00,1.6130E+19
2019-06-29 12:00:00,1.6220E+19
2019-06-29 13:00:00,1.6140E+19
2019-06-29 14:00:00,1.6080E+19
2019-06-29 15:00:00,1.6110E+19
2019-06-29 16:00:00,1.6050E+19
2019-06-29 17:00:00,1.6100E+19
2019-06-29 18:00:00,1.6060E+19
2019-06-29 19:00:00,1.6040E+19
2019-06-29 20:00:00,1.6030E+19
2019-06-29 21:00:00,1.5990E+19
2019-06-29 22:00:00,1.5990E+19
2019-06-29 23:00:00,1.5870E+19
2019-06-30 00:00:00,1.5930E+19
2019-06-30 01:00:00,1.5960E+19
2019-06-30 02:00:00,1.5920E+19
2019-06-30 03:00:00,1.5760E+19
2019-06-30 04:00:00,1.5800E+19
2019-06-30 05:00:00,1.5760E+19
2019-06-30 06:00:00,1.5750E+19
2019-06-30 07:00:00,1.5840E+19
2019-06-30 08:00:00,1.5830E+19
2019-06-30 09:00:00,1.5780E+19
2019-06-30 10:00:00,1.5910E+19
2019-06-30 11:00:00,1.5910E+19
2019-06-30 12:00:00,1.6000E+19
2019-06-30 13:00:00,1.6000E+19
2019-06-30 14:00:00,1.6150E+19
2019-06-30 15:00:00,1.6140E+19
2019-06-30 16:00:00,1.5920E+19
2019-06-30 17:00:00,1.5940E+19
2019-06-30 18:00:00,1.5870E+19
2019-06-30 19:00:00,1.5870E+19
2019-06-30 20:00:00,1.6040E+19
2019-06-30 21:00:00,1.6010E+19
2019-06-30 22:00:00,1.5900E+19
2019-06-30 23:00:00,1.6060E+19
2019-07-01 00:00:00,1.5950E+19
2019-07-01 01:00:00,1.5840E+19
2019-07-01 02:00:00,1.5950E+19
2019-07-01 03:00:00,1.5910E+19
2019-07-01 04:00:00,1.5920E+19
2019-07-01 05:00:00,1.5950E+19
2019-07-01 06:00:00,1.5920E+19
2019-07-01 07:00:00,1.5910E+19
2019-07-01 08:00:00,1.5890E+19
2019-07-01 09:00:00,1.5870E+19
2019-07-01 10:00:00,1.5850E+19
2019-07-01 11:00:00,1.5900E+19
2019-07-01 12:00:00,1.5930E+19
2019-07-01 13:00:00,1.5860E+19
2019-07-01 14:00:00,1.5800E+19
2019-07-01 15:00:00,1.5620E+19
2019-07-01 16:00:00,1.5570E+19
2019-07-01 17:00:00,1.5640E+19
2019-07-01 18:00:00,1.5630E+19
2019-07-01 19:00:00,1.5650E+19
2019-07-01 20:00:00,1.5740E+19
2019-07-01 21:00:00,1.5790E+19
2019-07-01 22:00:00,1.5710E+19
2019-07-01 23:00:00,1.5760E+19
2019-07-02 00:00:00,1.5740E+19
2019-07-02 01:00:00,1.5840E+19
2019-07-02 02:00:00,1.5910E+19
2019-07-02 03:00:00,1.6060E+19
2019-07-02 04:00:00,1.5860E+19
2019-07-02 05:00:00,1.5900E+19
2019-07-02 06:00:00,1.5860E+19
2019-07-02 07:00:00,1.4370E+19
2019-07-02 08:00:00,1.4290E+19
2019-07-02 09:00:00,1.4200E+19
2019-07-02 10:00:00,1.3460E+19
2019-07-02 11:00:00,1.3720E+19
2019-07-02 12:00:00,1.3900E+19
2019-07-02 13:00:00,1.3910E+19
2019-07-02 14:00:00,1.3980E+19
2019-07-02 15:00:00,1.4180E+19
2019-07-02 16:00:00,1.4090E+19
2019-07-02 17:00:00,1.3590E+19
2019-07-02 18:00:00,1.3540E+19
2019-07-02 19:00:00,1.3490E+19
2019-07-02 20:00:00,1.3650E+19
2019-07-02 21:00:00,1.3730E+19
2019-07-02 22:00:00,1.3680E+19
2019-07-02 23:00:00,1.3620E+19
2019-07-03 00:00:00,1.3630E+19
2019-07-03 01:00:00,1.3560E+19
2019-07-03 02:00:00,1.3530E+19
2019-07-03 03:00:00,1.3250E+19
2019-07-03 04:00:00,1.3320E+19
2019-07-03 05:00:00,1.3160E+19
2019-07-03 06:00:00,1.3240E+19
2019-07-03 07:00:00,1.3410E+19
2019-07-03 08:00:00,1.3460E+19
2019-07-03 09:00:00,1.3510E+19
2019-07-03 10:00:00,1.3260E+19
2019-07-03 11:00:00,1.3130E+19
2019-07-03 12:00:00,1.3220E+19
2019-07-03 13:00:00,1.3200E+19
2019-07-03 14:00:00,1.3140E+19
2019-07-03 15:00:00,1.3370E+19
2019-07-03 16:00:00,1.3250E+19
2019-07-03 17:00:00,1.3370E+19
2019-07-03 18:00:00,1.3420E+19
2019-07-03 19:00:00,1.3380E+19
2019-07-03 20:00:00,1.3420E+19
2019-07-03 21:00:00,1.3370E+19
2019-07-03 22:00:00,1.3370E+19
2019-07-03 23:00:00,1.3200E+19
2019-07-04 00:00:00,1.3290E+19
2019-07-04 01:00:00,1.3600E+19
2019-07-04 02:00:00,1.3570E+19
2019-07-04 03:00:00,1.3790E+19
2019-07-04 04:00:00,1.3900E+19
2019-07-04 05:00:00,1.3770E+19
2019-07-04 06:00:00,1.3810E+19
2019-07-04 07:00:00,1.3580E+19
2019-07-04 08:00:00,1.3650E+19
2019-07-04 09:00:00,1.3660E+19
2019-07-04 10:00:00,1.3680E+19
2019-07-04 11:00:00,1.3730E+19
2019-07-04 12:00:00,1.3650E+19
2019-07-04 13:00:00,1.3660E+19
2019-07-04 14:00:00,1.3680E+19
2019-07-04 15:00:00,1.3740E+19
2019-07-04 16:00:00,1.3750E+19
2019-07-04 17:00:00,1.3670E+19
2019-07-04 18:00:00,1.3680E+19
2019-07-04 19:00:00,1.3690E+19
2019-07-04 20:00:00,1.3660E+19
2019-07-04 21:00:00,1.3660E+19
2019-07-04 22:00:00,1.3690E+19
2019-07-04 23:00:00,1.3630E+19
2019-07-05 00:00:00,1.3630E+19
2019-07-05 01:00:00,1.3600E+19
2019-07-05 02:00:00,1.3610E+19
2019-07-05 03:00:00,1.3700E+19
2019-07-05 04:00:00,1.3670E+19
2019-07-05 05:00:00,1.3670E+19
2019-07-05 06:00:00,1.3680E+19
2019-07-05 07:00:00,1.3620E+19
2019-07-05 08:00:00,1.3570E+19
2019-07-05 09:00:00,1.3580E+19
2019-07-05 10:00:00,1.3600E+19
2019-07-05 11:00:00,1.3550E+19
2019-07-05 12:00:00,1.3530E+19
2019-07-05 13:00:00,1.3480E+19
2019-07-05 14:00:00,1.3460E+19
2019-07-05 15:00:00,1.3390E+19
2019-07-05 16:00:00,1.3300E+19
2019-07-05 17:00:00,1.2750E+19
2019-07-05 18:00:00,1.2770E+19
2019-07-05 19:00:00,1.2700E+19
2019-07-05 20:00:00,1.2660E+19
2019-07-05 21:00:00,1.2720E+19
2019-07-05 22:00:00,1.2780E+19
2019-07-05 23:00:00,1.2730E+19
2019-07-06 00:00:00,1.2890E+19
2019-07-06 01:00:00,1.2910E+19
2019-07-06 02:00:00,1.2900E+19
2019-07-06 03:00:00,1.2880E+19
2019-07-06 04:00:00,1.2830E+19
2019-07-06 05:00:00,1.2880E+19
2019-07-06 06:00:00,1.2970E+19
2019-07-06 07:00:00,1.3000E+19
2019-07-06 08:00:00,1.2930E+19
2019-07-06 09:00:00,1.2910E+19
2019-07-06 10:00:00,1.2860E+19
2019-07-06 11:00:00,1.2860E+19
2019-07-06 12:00:00,1.2730E+19
2019-07-06 13:00:00,1.2830E+19
2019-07-06 14:00:00,1.2770E+19
2019-07-06 15:00:00,1.2780E+19
2019-07-06 16:00:00,1.3500E+19
2019-07-06 17:00:00,1.3450E+19
2019-07-06 18:00:00,1.3540E+19
2019-07-06 19:00:00,1.3780E+19
2019-07-06 20:00:00,1.3670E+19
2019-07-06 21:00:00,1.3530E+19
2019-07-06 22:00:00,1.3500E+19
2019-07-06 23:00:00,1.3510E+19
2019-07-07 00:00:00,1.3540E+19
2019-07-07 01:00:00,1.3600E+19
2019-07-07 02:00:00,1.3520E+19
2019-07-07 03:00:00,1.3390E+19
2019-07-07 04:00:00,1.3420E+19
2019-07-07 05:00:00,1.3450E+19
2019-07-07 06:00:00,1.3380E+19
2019-07-07 07:00:00,1.3370E+19
2019-07-07 08:00:00,1.3460E+19
2019-07-07 09:00:00,1.3440E+19
2019-07-07 10:00:00,1.3330E+19
2019-07-07 11:00:00,1.3430E+19
2019-07-07 12:00:00,1.3410E+19
2019-07-07 13:00:00,1.3360E+19
2019-07-07 14:00:00,1.3600E+19
2019-07-07 15:00:00,1.3540E+19
2019-07-07 16:00:00,1.3330E+19
2019-07-07 17:00:00,1.3330E+19
2019-07-07 18:00:00,1.3330E+19
2019-07-07 19:00:00,1.3290E+19
2019-07-07 20:00:00,1.3200E+19
2019-07-07 21:00:00,1.3030E+19
2019-07-07 22:00:00,1.2950E+19
2019-07-07 23:00:00,1.3010E+19
2019-07-08 00:00:00,1.3090E+19
2019-07-08 01:00:00,1.3090E+19
2019-07-08 02:00:00,1.3110E+19
2019-07-08 03:00:00,1.3090E+19
2019-07-08 04:00:00,1.3080E+19
2019-07-08 05:00:00,1.3090E+19
2019-07-08 06:00:00,1.3120E+19
2019-07-08 07:00:00,1.3130E+19
2019-07-08 08:00:00,1.3110E+19
2019-07-08 09:00:00,1.3210E+19
2019-07-08 10:00:00,1.3260E+19
2019-07-08 11:00:00,1.3260E+19
2019-07-08 12:00:00,1.3290E+19
