	TokenFSS
0	3287158000000000000000
1	3229999900000000000000
2	3105000000000000000000
3	3131999300000000000000
4	3089900000000000000000
5	3142999900000000000000
6	3160298500000000000000
7	3156000000000000000000
8	3174900000000000000000
9	3170000200000000000000
10	3126474300000000000000
11	3119989200000000000000
12	3104849300000000000000
13	3028340500000000000000
14	3054999900000000000000
15	3002000000000000000000
16	3019999900000000000000
17	2974984900000000000000
18	2986000100000000000000
19	2991994900000000000000
20	3045000000000000000000
21	3008900000000000000000
22	2914900000000000000000
23	2924899800000000000000
24	2895000100000000000000
25	2755000000000000000000
26	2835000000000000000000
27	2718069000000000400000
28	2636230000000000000000
29	2729301400000000000000
30	2821971800000000000000
31	2909479500000000000000
32	2930105100000000000000
33	2927304600000000000000
34	2932941700000000000000
35	2892559900000000000000
36	2835000000000000000000
37	2860500000000000000000
38	2894996600000000000000
39	2825100000000000000000
40	2855000000000000000000
41	2891400000000000000000
42	2929700000000000000000
43	2950003300000000000000
44	2915000200000000000000
45	2955000200000000000000
46	2951754500000000000000
47	2945000000000000000000
48	2949075900000000000000
49	2939498600000000000000
50	2875000000000000000000
51	2874897100000000000000
52	2814980100000000000000
53	2851000000000000000000
54	2880000000000000000000
55	2879406900000000000000
56	2914996700000000000000
57	2894000000000000000000
58	2914999800000000000000
59	2916507400000000000000
60	2942799800000000000000
61	2935000000000000000000
62	2930077900000000000000
63	2943000000000000000000
64	2986000000000000000000
65	2980812500000000000000
66	2984899900000000000000
67	2975000000000000000000
68	2960005300000000000000
69	2970938100000000000000
70	2951610100000000000000
71	2936000000000000000000
72	2926802600000000000000
73	2928554300000000000000
74	2931000300000000000000
75	2930863600000000000000
76	2942749600000000000000
77	2950010000000000000000
78	2949795000000000000000
79	2938973400000000000000
80	2945001300000000000000
81	2953794200000000000000
82	2953685300000000000000
83	2930839200000000000000
84	2945217800000000000000
85	2943722200000000000000
86	2950028300000000000000
87	2954999900000000000000
88	2952906200000000000000
89	2937977300000000000000
90	2940478000000000000000
91	2940073400000000000000
92	2913800000000000000000
93	2813800000000000000000
94	2814998400000000000000
95	2852995800000000000000
96	2823795800000000000000
97	2833891200000000000000
98	2768761800000000000000
99	2713698000000000000000
100	2792922500000000000000
101	2770000000000000000000
102	2734949900000000000000
103	2735000000000000000000
104	2676000000000000000000
105	2678000800000000000000
106	2725009800000000000000
107	2725436300000000000000
108	2769494700000000000000
109	2780502600000000000000
110	2775078500000000000000
111	2739957600000000000000
112	2755932300000000000000
113	2770839900000000000000
114	2755060300000000000000
115	2708738800000000000000
116	2744000000000000000000
117	2714155900000000000000
118	2683970600000000000000
119	2660000100000000000000
120	2684998900000000000000
121	2664898900000000000000
122	2552000000000000000000
123	2382690000000000000000
124	2422272000000000000000
125	2305000000000000000000
126	2425000000000000000000
127	2486197100000000000000
128	2515000000000000000000
129	2590789700000000000000
130	2544708200000000000000
131	2574000000000000000000
132	2472910100000000000000
133	2414000000000000000000
134	2325600000000000000000
135	2313556700000000000000
136	2224999500000000000000
137	2387533100000000000000
138	2315100100000000000000
139	2366999900000000000000
140	2374370000000000000000
141	2399076100000000000000
142	2287498800000000000000
143	2126378200000000000000
144	2095000000000000000000
145	2084499900000000000000
146	1925000000000000000000
147	1924000100000000000000
148	2040000000000000000000
149	2175000000000000000000
150	2198199300000000000000
151	2266710200000000000000
152	2241401400000000000000
153	2224996900000000000000
154	2273347700000000000000
155	2280600100000000000000
156	2248001900000000000000
157	2243370900000000000000
158	2115111800000000000000
159	2054028100000000000000
160	2069594500000000000000
161	2093200000000000000000
162	2086242400000000000000
163	2063099900000000000000
164	2017093500000000000000
165	1964014100000000000000
166	1937300000000000000000
167	2044989700000000000000
168	2010000200000000000000
169	2044012000000000200000
170	2102028900000000000000
171	2225000000000000000000
172	2354798900000000000000
173	2300999400000000000000
174	2450640700000000000000
175	2505000000000000000000
176	2388299500000000000000
177	2304846400000000000000
178	2331643300000000000000
179	2453024400000000000000
180	2392200000000000000000
181	2384000000000000000000
182	2418010500000000000000
183	2485254700000000000000
184	2520000000000000000000
185	2549499100000000000000
186	2534000000000000000000
187	2563312500000000000000
188	2595089100000000000000
189	2682379000000000400000
190	2615000100000000000000
191	2631260100000000000000
192	2613536500000000000000
193	2667865900000000000000
194	2647000000000000000000
195	2702000000000000000000
196	2803681400000000000000
197	2857000000000000000000
198	2810000000000000000000
199	2805930000000000000000
200	2793362400000000000000
201	2816300000000000000000
202	2782500500000000000000
203	2802087300000000000000
204	2825000000000000000000
205	2816259800000000000000
206	2831000000000000000000
207	2797000000000000000000
208	2727898300000000000000
209	2660000000000000000000
210	2594997400000000000000
211	2665010100000000000000
212	2640689500000000000000
213	2679999900000000000000
214	2643122500000000000000
215	2662930200000000000000
216	2680019300000000000000
217	2730000100000000000000
218	2706000200000000000000
219	2667000000000000000000
220	2674060600000000000000
221	2652453500000000000000
222	2641519300000000000000
223	2584280200000000000000
224	2625046900000000000000
225	2575000000000000000000
226	2554999900000000000000
227	2569999900000000000000
228	2555300100000000000000
229	2569499100000000000000
230	2575000000000000000000
231	2555000000000000000000
232	2615136000000000000000
233	2615000000000000000000
234	2677150000000000000000
235	2701552900000000000000
236	2636510100000000000000
237	2583600000000000000000
238	2610000000000000000000
239	2595600100000000000000
240	2604870000000000000000
241	2618499900000000000000
242	2583000100000000000000
243	2560849900000000000000
244	2534020100000000000000
245	2426000000000000000000
246	2378512300000000000000
247	2477000000000000000000
248	2440000000000000000000
249	2421720000000000000000
250	2418575700000000000000
251	2407259100000000000000
252	2421740000000000000000
253	2363000000000000000000
254	2334986800000000000000
255	2402810800000000000000
256	2392000000000000000000
257	2466000000000000000000
258	2455000000000000000000
259	2403670000000000000000
260	2400060000000000000000
261	2359910000000000000000
262	2339650000000000000000
263	2401370000000000000000
264	2362999900000000000000
265	2315470200000000000000
266	2275000000000000000000
267	2263400000000000000000
268	2256200000000000000000
269	2255130100000000000000
270	2303999200000000000000
271	2303450200000000000000
272	2281468300000000000000
273	2302212500000000000000
274	2255969300000000000000
275	2261680700000000000000
276	2271064200000000000000
277	2307066500000000000000
278	2287120000000000000000
279	2346259900000000000000
280	2399999900000000000000
281	2346999800000000000000
282	2316500000000000000000
283	2347300600000000000000
284	2337799900000000000000
285	2301700200000000000000
286	2309856400000000000000
287	2343259400000000000000
288	2369899800000000000000
289	2460000000000000000000
290	2463130000000000000000
291	2478280000000000000000
292	2487699700000000000000
293	2577250000000000000000
294	2525100100000000000000
295	2520633100000000000000
296	2502664800000000000000
297	2468592000000000000000
298	2485249800000000000000
299	2479870000000000000000
300	2491420100000000000000
301	2490000000000000000000
302	2462499700000000000000
303	2436000100000000000000
304	2443999700000000000000
305	2423648800000000000000
306	2457500000000000000000
307	2463899700000000000000
308	2463999800000000000000
309	2515000000000000000000
310	2495000200000000000000
311	2507530300000000000000
